Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,On-air,Coverage,Affiliate,Last update,Sponsor,Coordination,Web links,Downlink Tone,Op Status,Features,Links,Notes,Nets,IRLP,Commands,DMR Enabled,Color Code,Wide Network,EchoLink,D-STAR Enabled,Node,Sources,AllStar,Grid,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Central Regional,Northern Colorado Regional,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,P25 Digital Enabled,NAC,Default Reflector,Devilshead Local,Mixed-Mode,Eastern Colorado,YSF Digital Enabled,DG-ID,Local Network,Local/Cluster,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,WIRES-X,Worldwide English,Colorado,N. Colorado,Mountain Reg USA,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,Wyoming,WyLOCAL,Local
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,34.1,NW,yes,08,3757,39.0638,-108.551,447.5,442.5,114.8,Mesa,Unknown,,,2012-11-10,KC0ARV,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,34.1,NW,yes,08,11792,39.0639,-108.551,446.775,441.775,,Mesa,,,,2014-08-16,,,,,On-Air,,,,,,,,,,,yes,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,34.1,NW,yes,08,11793,39.0639,-108.551,449.775,444.775,173.8,Mesa,,,,2015-10-25,,CCARC,,88.5,On-Air,,,,,7573,,,,,7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,34.1,NW,yes,08,8167,39.0639,-108.551,145.22,144.62,107.2,Mesa,Unknown,,,2012-11-12,KE0TY,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,34.1,NW,yes,08,152,39.0639,-108.55,147.39,147.99,107.2,Mesa,Unknown,,,2012-11-10,KE0TY,CCARC,,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,34.1,NW,yes,08,261,39.0639,-108.55,146.82,146.22,107.2,Mesa,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,2016-04-22,,CCARC,,,On-Air,,,,,,,,,,,,,,28515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,34.2,NW,yes,08,15581,39.052,-108.565,147.355,146.755,88.5,Mesa,,,,2017-01-06,Colorado Connection,CCARC,,123,On-Air,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,34.9,N,yes,08,36,39.2406,-107.961,449.5,444.5,107.2,Mesa,,,,2016-07-01,Grand Mesa Repeater Association (GMRA),CCARC,,,Off-Air,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,35.6,NW,yes,08,147,39.1173,-108.522,145.175,144.575,107.2,Mesa,,Greater grand Junction area.,,2016-05-11,,CCARC,,,On-Air,"E-power,",,,,3161,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,42.8,WNW,yes,08,151,39.0656,-108.748,146.94,146.34,107.2,Mesa,,Grand Junction 30-50 mi,,2016-05-11,Western Colorado Amateur Radio Club,CCARC,http://w0rrz.org,107.2,On-Air,E-power and autopatch for WCARC members,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,42.8,WNW,yes,08,155,39.0656,-108.748,449.575,444.575,131.8,Mesa,,Grand Junction,Grand Mesa Repeater Assoc,2018-01-15,,CCARC,GMRA Repeaters,131.8,On-Air,e-power. Linked to GMRA Open System,,Closed IRLP out,Wed RACES Net 1930 Hrs,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,49,N,yes,08,253,39.4519,-108.052,449.8,444.8,107.2,Garfield,,,,2018-01-15,,CCARC,GMRA Repeaters,,On-Air,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,52.2,S,yes,08,254,37.991,-107.972,449.7,444.7,107.2,San Miguel,,Wide Area via links - Western Colorado - Eastern Utah,,2017-12-07,Grand Mesa Repeater Association ( GMRA ),CCARC,,107.2,On-Air,E-power.,Full-time to the  GMRA Open System .,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,53,NNE,yes,08,200,39.4745,-107.772,146.76,146.16,107.2,Garfield,,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",,2015-06-03,"N0SWE,  Roaring Fork Amateur Repeater Cooperative",CCARC,,,Off-Air,E-power.,,,,,,,,,243117,,,,,DM69cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,54.2,SSE,yes,08,16604,38.0228,-107.671,147.27,147.87,127.3,Ouray,,,,2018-01-15,,CCARC,http://www.sjcham.com,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,60,NE,yes,08,129,39.4264,-107.38,146.85,146.25,88.5,Garfield,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,2016-05-23,Colorado Connection,CCARC,,123,On-Air,70,,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,60,NE,yes,08,130,39.4264,-107.38,146.88,146.28,107.2,Garfield,,,,2012-11-10,Ski Country ARC,CCARC,,,On-Air,,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,60,NE,yes,08,132,39.4264,-107.38,447.1,442.1,107.2,Garfield,,,,2012-11-10,Ski Country ARC,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,60,NE,yes,08,255,39.4264,-107.38,449.6,444.6,107.2,Garfield,,Wide area.,,2018-01-15,,CCARC,http://www.gmra.org,,On-Air,e-power Linked to GMRA open system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,60.8,NE,yes,08,35,39.4,-107.315,449.725,444.725,179.9,Garfield,,Wide area.,,2012-11-10,Roaring Fork Amateur Repeater Cooperative (RFARC),CCARC,,,On-Air,EchoLink.,,,,3722,,,,,,,,,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,60.8,NE,yes,08,259,39.4,-107.315,147.39,147.99,107.2,Garfield,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,2016-07-14,Roaring Fork Amateur Repeater Cooperative,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,63.2,SE,yes,08,161,38.5458,-106.925,449.95,444.95,,Gunnison,Unknown,,,2012-11-10,K5GF,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,63.2,SE,yes,08,160,38.5458,-106.925,147.12,147.72,,Gunnison,,,,2014-09-01,W0VTL,CCARC,,,On-Air,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,63.9,SE,yes,08,16607,38.03,-107.315,147.135,146.535,123,Hinsdale,,,,2018-01-15,,CCARC,http://www.sjcham.com,,On-Air,E-power (solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,67.9,SSE,yes,08,16605,37.8119,-107.665,145.325,144.725,127.3,San Juan,,,,2018-01-15,,CCARC,http://www.sjcham.com,,On-Air,Solar powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,67.9,SSE,yes,08,16624,37.8119,-107.665,444,449,67,San Juan,,,,2018-08-03,,,http://www.sjcham.com,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,67.9,SSE,yes,08,210,37.8119,-107.664,447.525,442.525,127.3,San Juan,,Wide area.,,2014-06-30,KB5ITS,CCARC,,,On-Air,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,68.6,NE,yes,08,8181,39.5505,-107.325,224.02,222.42,,Garfield,Unknown,,,2012-11-12,SCARC,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,68.6,NE,yes,08,8192,39.5505,-107.325,447.6,442.6,,Garfield,Unknown,40,,2012-11-12,Ski Country ARC (SCARC),CCARC,,,,50,"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",Link Hub for 146.880.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,68.6,NE,yes,08,13637,39.5505,-107.325,449.85,444.85,131.8,Garfield,,Glenwood Springs,Grand Mesa Repeater Assoc,2018-01-15,,CCARC,http://GMRA.org,131.8,On-Air,e-power  Linked to GMRA Open System,Full-time to the  GMRA Open System .,RACES net Wed 1930 Hrs Local,Colorado State RACES  Wed 1930 local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,68.7,NE,yes,08,131,39.5506,-107.324,147.3,147.9,107.2,Garfield,,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",,2012-11-10,Roaring Fork Amateur Repeater Cooperative,CCARC,,,Off-Air,8,,Single beep courtesy tone when linked and none when unlinked.,,,,,,,266359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,69,E,yes,08,211,39.2131,-106.937,146.67,146.07,107.2,Pitkin,,Wide area.,,2012-11-10,Ski Country ARC,CCARC,,,On-Air,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,69.2,WSW,yes,49,13042,38.5286,-109.322,146.76,146.16,88.5,Grand,,Moab and immediate surroundings.,,2017-11-04,Sinbad Desert ARC,UVHFS,http://www.sdarc.us/repeaters/bald.html,,On-Air,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,69.4,WSW,yes,49,52,38.5286,-109.325,449.1,444.1,107.2,Grand,,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",,2017-11-04,Grand Mesa Repeater Association (GMRA),UVHFS,GMRA Repeaters,107.2,On-Air,8,,,RACES Wed. 1930 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,69.8,SSE,yes,08,209,37.7933,-107.629,147.375,147.975,156.7,San Juan,,Wide area.,,2018-01-15,,CCARC,http://www.sjcham.com,,On-Air,13,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,70.3,NE,yes,08,6009,39.4247,-107.097,447.15,442.15,136.5,Garfield,,,,2011-08-01,,,,,On-Air,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,,,,,,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,73.1,E,yes,08,260,39.1761,-106.829,447.05,442.05,136.5,Pitkin,,Aspen-Snowmass areas.,,2012-11-10,Roaring Fork Amateur Repeater Cooperative,CCARC,,136.5,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,73.5,SSE,yes,08,208,37.6992,-107.806,147.27,147.87,127.3,San Juan,,Wide area.,Durango ARC,2017-04-14,KB5ITT,CCARC,,,On-Air,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,,74.9,NW,yes,08,174,39.5819,-108.952,447,442,107.2,Garfield,,Wide area.,,2018-01-15,,CCARC,,,On-Air,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,,80.7,W,yes,49,48,38.5739,-109.549,146.9,146.3,88.5,Grand,,Moab and immediate surroundings.,,2015-03-29,Sinbad Desert ARC,UVHFS,http://sdarc.us/repeaters/moab.html,,On-Air,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,82.8,ESE,yes,08,15212,38.6125,-106.543,447.65,442.65,151.4,Gunnison,,Gunnison valley and along East and west on Highway 50.,,2016-10-28,KB0YNA,CCARC,,151.4,On-Air,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.","Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,85.6,SE,yes,08,14923,37.7933,-107.055,449.525,444.525,100,Mineral,,,The Fun Machine,2017-01-06,N0PKT,,,100,On-Air,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,43265,DM67lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,87.5,SE,yes,08,63,37.8492,-106.926,146.925,146.325,,Mineral,,,,2012-11-12,Creede ARC,CCARC,,,Off-Air,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
